Model,Accuracy,Precision,Recall,F1 Score
Baseline (TF-IDF + LR),0.8161523309258043,0.8375451263537906,0.709480122324159,0.7682119205298014
DistilBERT (Best),0.8391332895600788,0.8851224105461394,0.7186544342507645,0.7932489451476793
BERT,0.8509520682862771,0.8588235294117647,0.7813455657492355,0.8182546036829463
